"match_id","radiant_win","order","pick","hero_id","query_date"
"5452438801","1","7","1","96","2020/04/01"
"5452438801","1","8","1","77","2020/04/01"
"5452438801","1","9","1","114","2020/04/01"
"5452438801","1","10","1","12","2020/04/01"
"5452379337","0","1","1","58","2020/04/01"
"5452379337","0","2","1","43","2020/04/01"
"5452379337","0","3","1","3","2020/04/01"
"5452379337","0","4","1","107","2020/04/01"
"5452379337","0","5","1","110","2020/04/01"
"5452379337","0","6","1","74","2020/04/01"
"5452379337","0","7","1","2","2020/04/01"
"5452379337","0","8","1","38","2020/04/01"
"5452379337","0","9","1","73","2020/04/01"
"5452379337","0","10","1","10","2020/04/01"
"5452166452","1","1","1","39","2020/04/01"
"5452166452","1","2","1","3","2020/04/01"
"5452166452","1","3","1","106","2020/04/01"
"5452166452","1","4","1","79","2020/04/01"
"5452166452","1","5","1","38","2020/04/01"
"5452166452","1","6","1","66","2020/04/01"
"5452166452","1","7","1","33","2020/04/01"
"5452166452","1","8","1","23","2020/04/01"
"5452166452","1","9","1","42","2020/04/01"
"5452166452","1","10","1","44","2020/04/01"
"5452093536","0","1","1","58","2020/04/01"
"5452093536","0","2","1","106","2020/04/01"
"5452093536","0","3","1","121","2020/04/01"
"5452093536","0","4","1","49","2020/04/01"
"5452093536","0","5","1","119","2020/04/01"
"5452093536","0","6","1","88","2020/04/01"
"5452093536","0","7","1","98","2020/04/01"
"5452093536","0","8","1","40","2020/04/01"
"5452093536","0","9","1","1","2020/04/01"
"5452093536","0","10","1","81","2020/04/01"
"5452063088","0","1","1","30","2020/04/01"
"5452063088","0","2","1","58","2020/04/01"
"5452063088","0","3","1","107","2020/04/01"
"5452063088","0","4","1","7","2020/04/01"
"5452063088","0","5","1","72","2020/04/01"
"5452063088","0","6","1","49","2020/04/01"
"5452063088","0","7","1","23","2020/04/01"
"5452063088","0","8","1","70","2020/04/01"
"5452063088","0","9","1","129","2020/04/01"
"5452063088","0","10","1","15","2020/04/01"
"5451986138","1","1","1","128","2020/04/01"
"5451986138","1","2","1","39","2020/04/01"
"5451986138","1","3","1","7","2020/04/01"
"5451986138","1","4","1","86","2020/04/01"
"5451986138","1","5","1","111","2020/04/01"
"5451986138","1","6","1","32","2020/04/01"
"5451986138","1","7","1","60","2020/04/01"
"5451986138","1","8","1","98","2020/04/01"
"5451986138","1","9","1","53","2020/04/01"
"5451986138","1","10","1","95","2020/04/01"
"5451950420","0","1","1","58","2020/04/01"
"5451950420","0","2","1","49","2020/04/01"
"5451950420","0","3","1","121","2020/04/01"
"5451950420","0","4","1","30","2020/04/01"
"5451950420","0","5","1","53","2020/04/01"
"5451950420","0","6","1","129","2020/04/01"
"5451950420","0","7","1","106","2020/04/01"
"5451950420","0","8","1","95","2020/04/01"
"5451950420","0","9","1","43","2020/04/01"
"5451950420","0","10","1","10","2020/04/01"
"5451933022","0","1","1","58","2020/04/01"
"5451933022","0","2","1","79","2020/04/01"
"5451933022","0","3","1","126","2020/04/01"
"5451933022","0","4","1","107","2020/04/01"
"5451933022","0","5","1","106","2020/04/01"
"5451933022","0","6","1","72","2020/04/01"
"5451933022","0","7","1","90","2020/04/01"
"5451933022","0","8","1","98","2020/04/01"
"5451933022","0","9","1","49","2020/04/01"
"5451933022","0","10","1","70","2020/04/01"
"5451850484","1","1","1","51","2020/04/01"
"5451850484","1","2","1","121","2020/04/01"
"5451850484","1","3","1","38","2020/04/01"
"5451850484","1","4","1","58","2020/04/01"
"5451850484","1","5","1","9","2020/04/01"
"5451850484","1","6","1","104","2020/04/01"
"5451850484","1","7","1","32","2020/04/01"
"5451850484","1","8","1","95","2020/04/01"
"5451850484","1","9","1","46","2020/04/01"
"5451850484","1","10","1","43","2020/04/01"
"5451848396","0","1","1","49","2020/04/01"
"5451848396","0","2","1","80","2020/04/01"
"5451848396","0","3","1","58","2020/04/01"
"5451848396","0","4","1","64","2020/04/01"
